IATA,ICAO,Name,Wake
100,F100,Fokker 100,M
141,B461,BAe 146-100 Pax,M
142,B462,BAe 146-200 Pax,M
143,B463,BAe 146-300 Pax,M
146,,BAe 146 all pax models,M
14F,,BAe 146 Freighter (-100/200/300QT & QC),M
14X,B461,BAe 146 Freighter (-100QT & QC),M
14Y,B462,BAe 146 Freighter (-200QT & QC),M
14Z,B463,BAe 146 Freighter (-200QT & QC),M
310,A310,Airbus A310 all pax models,H
312,A310,Airbus A310-200 pax,H
313,A310,Airbus A310-300 pax,H
318,A318,Airbus A318,M
319,A319,Airbus A319,M
31F,A310,Airbus A310 Freighter,M
31X,A310,Airbus A310-200 Freighter,M
31Y,A310,Airbus A310-300 Freighter,M
320,A320,Airbus A320-100/200,M
321,A321,Airbus A321-100/200,M
32S,n/a,Airbus A318/319/320/321,M
330,A330,Airbus A330 all models,H
332,A332,Airbus A330-200,H
333,A333,Airbus A330-300,H
340,A340,Airbus A340 all models,H
342,A342,Airbus A340-200,H
343,A343,Airbus A340-300,H
345,A345,Airbus A340-500,H
346,A346,Airbus A340-600,H
380,,Airbus A380 pax,H
38F,,Airbus A380 Freighter,H
703,B703,Boeing 707-300 pax,H
707,n/a,Boeing 707/720 all pax models,H
70F,B703,Boeing 707 Freighter,H
70M,B703,Boeing 707 Combi,H
717,B712,Boeing 717,M
721,B721,Boeing 727-100 pax,M
722,B722,Boeing 727-200 pax,M
727,n/a,Boeing 727 all pax models,M
72B,B721,Boeing 727-100 Mixed Configuration,M
72C,B722,Boeing 727-200 Mixed Configuration,M
72F,n/a,Boeing 727 Freighter (-100/200),M
72M,n/a,Boeing 727 Combi,M
72S,B722,Boeing 727-200 Advanced pax,M
72X,B721,Boeing 727-100 Freighter,M
72Y,B722,Boeing 727-200 Freighter,M
731,B731,Boeing 737-100 pax,M
732,B732,Boeing 737-200 pax,M
733,B733,Boeing 737-300 pax,M
734,B734,Boeing 737-400 pax,M
735,B735,Boeing 737-500 pax,M
736,B736,Boeing 737-600 pax,M
737,n/a,Boeing 737 all pax models,M
738,B738,Boeing 737-800 pax,M
739,B739,Boeing 737-900 pax,M
73F,n/a,Boeing 737 all Freighter models,M
73G,B737,Boeing 737-700 pax,M
73H,B738,Boeing 737-800 (winglets) pax,M
73M,B732,Boeing 737-200 Combi,M
73W,B737,Boeing 737-700 (winglets) pax,M
73X,B732,Boeing 737-200 Freighter,M
73Y,B733,Boeing 737-300 Freighter,M
741,B741,Boeing 747-100 pax,H
742,B742,Boeing 747-200 pax,H
743,B743,Boeing 747-300 pax,H
744,B744,Boeing 747-400 pax,H
747,n/a,Boeing 747 all pax models,H
74C,B742,Boeing 747-200 Combi,H
74D,B743,Boeing 747-300 Combi,H
74E,B744,Boeing 747-400 Combi,H
74F,n/a,Boeing 747 all Freighter models,H
74J,B744,Boeing 747-400 (Domestic) pax,H
74L,N74S,Boeing 747SP,H
74M,n/a,Boeing 747 all Combi models,H
74R,B74R,Boeing 747SR pax,H
74T,B741,Boeing 747-100 Freighter,H
74U,B743,Boeing 747-300 / 747-200 SUD Freighter,H
74V,B74R,Boeing 747SR Freighter,H
74X,B742,Boeing 747-200 Freighter,H
74Y,B744,Boeing 747-400 Freighter,H
752,B752,Boeing 757-200 pax,H
753,B753,Boeing 757-300 pax,H
757,n/a,Boeing 757 all pax models,H
75F,B752,Boeing 757 Freighter,H
75M,B752,Boeing 757 Mixed Configuration,H
762,B762,Boeing 767-200 pax,H
763,B763,Boeing 767-300 pax,H
764,B764,Boeing 767-400 pax,H
767,n/a,Boeing 767 all pax models,H
76F,n/a,Boeing 767 all Freighter models,H
76X,B762,Boeing 767-200 Freighter,H
76Y,B763,Boeing 767-300 Freighter,H
772,B772,Boeing 777-200 pax,H
773,B773,Boeing 777-300 pax,H
777,n/a,Boeing 777 all pax models,H
A26,AN26,Antonov AN-26,L
A28,AN28,Antonov AN-28 / PZL Miele M-28 Skytruck,L
A30,AN30,Antonov AN-30,L
A32,AN32,Antonov AN-32,L
A40,A140,Antonov AN-140,M
A4F,A124,Antonov AN-124 Ruslan,H
AB3,A30B,Airbus Industrie A300 pax,H
AB4,A30B,Airbus Industrie A300B2/B4/C4 pax,H
AB6,A306,Airbus Industrie A300-600 pax,H
ABB,A3ST,Airbus Industrie A300-600ST Beluga Freighter,H
ABF,A30B,Airbus Industrie A300 Freighter,H
ABX,A30B,Airbus Industrie A300C4/F4 Freighter,H
ABY,A306,Airbus Industrie A600-600 Freighter,H
ACD,n/a,Gulfstream/Rockwell (Aero) Commander/Turbo Commander,L
